Kategori,Nama Barang,Unit,Catatan
"Ayam, Daging & Seafood",Ayam 1/4 Dara,kg,
"Ayam, Daging & Seafood",Ayam 1/8 Bulat,kg,
"Ayam, Daging & Seafood",Udang Galah,kg,
"Ayam, Daging & Seafood",Sotong,kg,
"Ayam, Daging & Seafood",Chicken Tender,kg,
"Ayam, Daging & Seafood",Bakso,kg,
"Ayam, Daging & Seafood",Talapia,pcs,
"Ayam, Daging & Seafood",Keli,pcs,
"Sayur, Herba & Bahan Segar",Enoki,pack,
"Sayur, Herba & Bahan Segar",Bayam,kg,
"Sayur, Herba & Bahan Segar",Tempe,pcs,
"Sayur, Herba & Bahan Segar",Tauhu,pcs,
"Sayur, Herba & Bahan Segar",Pedal,kg,
"Sayur, Herba & Bahan Segar",Kubis,bundle,1 bundle = 20kg
"Sayur, Herba & Bahan Segar",Timun Jepun,kg,
"Sayur, Herba & Bahan Segar",Cili Merah,kg,
"Sayur, Herba & Bahan Segar",Cili Hijau,kg,
"Sayur, Herba & Bahan Segar",Lengkuas,kg,
"Sayur, Herba & Bahan Segar",Serai,kg,
"Sayur, Herba & Bahan Segar",Daun Salam,pack,
"Sayur, Herba & Bahan Segar",Daun Limau Purut,pack,
"Sayur, Herba & Bahan Segar",Bawang Merah,kg,
"Sayur, Herba & Bahan Segar",Bawang Putih Kopek,kg,
"Sayur, Herba & Bahan Segar",Habenero,kg,
"Sayur, Herba & Bahan Segar",Soon,kg,
"Sayur, Herba & Bahan Segar",Daun Bawang,kg,
"Sayur, Herba & Bahan Segar",Daun Sup,kg,
"Sayur, Herba & Bahan Segar",Lemon,kg,
"Sayur, Herba & Bahan Segar",Limau Kasturi,kg,
"Sayur, Herba & Bahan Segar",Santan,kg,
"Sayur, Herba & Bahan Segar",Gula Merah,kg,
Bahan Kering & Perencah,Kacang Tanah BK,kg,
Bahan Kering & Perencah,Kacang Gajus,tong,
Bahan Kering & Perencah,Beras,guni,1 guni = 10kg
Bahan Kering & Perencah,Tepung Bestari (HOT),carton,1 carton = 20 pack x 1kg
Bahan Kering & Perencah,Tepung Bestari (ORI),carton,1 carton = 20 pack x 1kg
Bahan Kering & Perencah,Kicap ABC,tong,25kg
Bahan Kering & Perencah,Indomee Asli,box,1 box = 8 pack
Bahan Kering & Perencah,Garam Halus Double Swallow,bungkus,1 bungkus = 12 pack
Bahan Kering & Perencah,Ajinamoto,box,1 box = 1kg x 20
Bahan Kering & Perencah,Serbuk Kunyit,kotak,1 kotak = 40 pack
Bahan Kering & Perencah,Minyak Bijan,botol,630ml
Bahan Kering & Perencah,Buah Keras,kg,
Bahan Kering & Perencah,Perencah Secukup Rasa,unit,
Bahan Kering & Perencah,Babas,unit,
Minuman & Sirap,Pink Guava w Lemon Juice,botol,1kg
Minuman & Sirap,Pomelo Juice,botol,950g
Minuman & Sirap,Passion Fruit Jasmine Tea,botol,
Minuman & Sirap,Mango Juice,botol,950g
Minuman & Sirap,Coconut Milk,botol,1kg
Minuman & Sirap,Camellia Flavored Oolong Tea Base,botol,1L
Minuman & Sirap,Lemon Mate Flavored Syrup,botol,5.5kg
Minuman & Sirap,Fructose,botol,1.6L
Minuman & Sirap,Cendol,pack,
Minuman & Sirap,Santan (Minuman),kg,
Minuman & Sirap,Spritzer Air Mineral,carton,550ml
Minuman & Sirap,Gula Perai,kg,
Minuman & Sirap,Teh Botol,carton,
Pembungkusan & Peralatan,Glove Cust L Transparent,box,1 box = 100pcs
Pembungkusan & Peralatan,Glove Kitchen Black L,box,10 box x 10 pack
Pembungkusan & Peralatan,Tissu Gulung Tandas,pack,
Pembungkusan & Peralatan,Tissue (Pack),box,1 box = 12 pack
Pembungkusan & Peralatan,Thermal Paper Roll 80,roll,
Pembungkusan & Peralatan,Receipt Paper 80x60 (Star10),roll,
Pembungkusan & Peralatan,Plastik Sampah GB32X40,guni,1 guni = 30 pack
Pembungkusan & Peralatan,Plastik Sampah GB36X48 XL,ikat,1 ikat = 10 pack
Pembungkusan & Peralatan,Round Keras Minyak 4.5-5.0,pack,1x500
Pembungkusan & Peralatan,Star 38,pack,1x80
Pembungkusan & Peralatan,Star 48,pack,1x60
Pembungkusan & Peralatan,Plastik Nasi 500gm HM 12x12,pack,
Pembungkusan & Peralatan,Kertas Minyak D 12x11.5,ikat,1 ikat = 10 pack
Pembungkusan & Peralatan,Cup Sambal SC 50,box,1 box = 10 pack
Pembungkusan & Peralatan,Cup Kicap SC 25,box,1 box = 10 pack
Pembungkusan & Peralatan,Food Wrap 350x300mm,gulung,
Pembungkusan & Peralatan,Kotak Bungkus,pack,1 pack = 50pcs
Pembungkusan & Peralatan,Kotak Bungkus (Print),pack,1 pack = 50pcs
Pembungkusan & Peralatan,Straw,pack,
Pembungkusan & Peralatan,Straw (Juice),pack,
Pembungkusan & Peralatan,Cup Air,box,1 box = 20 packet x 100pcs
Pembungkusan & Peralatan,Toothpick,pack,
Pembungkusan & Peralatan,Getah 60mm,pack,
Pembungkusan & Peralatan,Gas,tong,
Pembersihan & Lain-lain,Dishwash,botol,
Pembersihan & Lain-lain,Hand Soap,botol,
Pembersihan & Lain-lain,Liquid Pine,botol,
Pembersihan & Lain-lain,Bleach,botol,
Pembersihan & Lain-lain,Laundry Powder,pack,
Pembersihan & Lain-lain,Class Clean,botol,
Pembersihan & Lain-lain,Floor Cleaner,botol,
Pembersihan & Lain-lain,Multipurpose MP,botol,
